group,queue,waiting,vehicle_count
51,0.8,2.1,203.0
52,2.2,19.3,206.4
53,3.1,46.5,208.0
54,1.0,7.9,213.2
55,1.0,12.5,214.2
56,1.2,22.5,209.8
57,1.4,33.1,211.9
58,2.2,26.6,216.1
59,3.2,18.2,221.5
60,4.0,56.0,227.9
61,4.8,97.3,235.7
62,7.0,157.5,240.5
63,2.5,31.5,242.1
64,1.9,14.1,237.8
65,2.1,34.0,234.8
66,3.5,60.1,234.4
67,4.0,57.8,233.5
68,5.5,25.9,229.5
69,9.9,108.0,231.6
70,12.3,219.8,233.1
71,13.7,351.3,233.8
72,11.6,395.8,234.7
73,9.1,388.2,235.3
74,9.0,458.5,235.1
75,9.4,548.8,237.7
76,10.1,524.3,237.1
77,8.4,89.9,233.1
78,14.7,145.7,236.1
79,18.3,311.0,240.3
80,21.5,512.8,241.0
81,18.8,614.0,242.2
82,14.0,585.9,236.6
83,12.0,657.0,226.3
84,12.0,777.0,221.3
85,10.9,768.6,220.2
86,6.1,179.0,220.9
87,6.4,72.5,224.1
88,12.9,167.5,230.4
89,17.2,324.1,236.7
90,13.5,299.8,241.0
91,12.3,405.8,236.0
92,12.0,524.0,227.1
93,12.0,644.0,224.8
94,10.5,652.7,222.0
95,2.6,156.1,221.1
96,1.4,7.5,229.9
97,2.6,21.2,239.2
98,7.6,69.9,244.9
99,9.6,103.2,246.9
100,7.1,127.8,241.3
101,5.6,155.6,234.5
102,6.1,215.0,229.5
103,5.3,195.8,229.8
104,0.2,0.9,230.7
105,0.2,0.0,233.0
106,1.8,5.3,239.5
107,3.3,32.6,242.3
108,1.4,11.3,243.7
109,2.1,23.1,241.1
110,2.1,43.0,237.0
111,2.6,65.1,235.5
112,2.0,49.7,238.2
113,0.0,0.0,240.1
114,1.9,5.5,245.9
115,6.0,47.7,247.4
116,10.6,132.4,247.6
117,6.6,108.9,249.0
118,0.3,5.2,248.7
119,1.0,3.1,246.7
120,1.1,2.8,242.2
121,1.7,5.9,236.3
122,3.1,26.6,232.5
123,4.7,65.8,236.4
124,6.2,119.7,242.5
125,7.0,187.5,245.6
126,1.2,24.6,246.8
127,0.5,1.0,247.0
128,1.1,7.5,242.2
129,1.6,18.5,242.0
130,1.5,17.4,242.4
131,1.0,7.5,245.6
132,1.0,17.5,250.8
133,2.7,32.4,253.2
134,6.5,79.4,255.8
135,3.7,24.3,262.5
136,5.4,40.0,259.3
137,3.5,41.7,255.6
138,3.6,57.7,249.5
139,6.8,73.7,249.7
140,3.6,15.8,252.6
141,5.1,61.5,259.3
142,6.3,115.8,265.8
143,8.5,189.3,267.7
144,2.4,49.3,270.7
145,0.9,1.3,270.5
146,0.1,0.0,271.0
147,0.8,3.6,272.7
148,1.3,7.3,274.4
149,1.0,7.5,276.3
150,1.0,17.5,277.6
151,1.0,27.5,278.2
152,2.7,42.5,280.2
153,2.9,58.0,283.0
154,4.9,92.8,272.9
155,5.4,142.8,264.0
156,7.1,202.9,265.1
157,8.3,249.1,263.5
158,6.7,252.0,259.9
159,4.9,285.8,260.6
160,6.8,337.5,264.1
161,8.6,416.6,271.9
162,3.1,84.9,276.2
163,1.1,6.5,277.5
164,1.8,8.3,276.9
165,2.1,26.0,275.1
166,1.6,22.9,274.8
167,0.0,0.0,272.8
168,0.2,0.0,272.0
169,0.6,2.1,268.1
170,2.9,19.1,263.8
171,0.5,1.9,265.7
172,0.1,0.0,259.4
173,0.8,3.6,252.0
174,1.1,13.5,247.1
175,0.8,12.9,249.5
176,0.1,0.0,251.9
177,0.1,0.0,253.1
178,2.3,7.8,258.7
179,5.1,49.5,263.6
180,2.4,19.6,264.9
181,2.2,24.3,260.7
182,3.0,51.5,255.5
183,3.0,81.5,252.0
184,2.5,63.3,247.6
185,1.0,10.5,246.0
186,1.0,20.5,245.2
187,1.2,30.5,246.9
188,2.2,44.8,248.4
189,0.6,1.3,247.8
190,0.2,0.0,243.7
191,0.5,1.5,236.6
192,1.2,10.5,233.1
193,1.3,10.8,234.2
194,4.8,29.2,236.9
195,7.0,92.5,243.2
196,9.6,173.7,245.0
197,11.3,280.5,245.7
198,5.6,131.0,249.3
199,5.5,100.5,245.5
200,4.0,136.0,240.8
201,4.2,176.0,238.7
202,8.5,232.4,238.9
203,13.6,350.4,240.9
204,14.9,492.1,244.3
205,18.7,658.2,249.5
206,22.1,865.1,250.3
207,19.8,996.5,252.9
208,16.2,908.7,253.8
209,12.1,830.0,256.4
210,12.0,948.0,257.8
211,15.4,1081.2,255.8
212,19.0,1260.5,259.2
213,19.7,1453.3,265.9
214,20.2,1653.3,269.1
215,22.7,1868.8,269.5
216,20.6,2056.2,272.6
217,17.1,2027.6,271.3
218,12.3,1909.0,268.7
219,12.0,2028.0,263.6
220,14.6,2158.6,259.1
