group,queue,waiting,vehicle_count
447,14.4,150.7,261.7
448,17.5,316.0,265.3
449,19.0,500.5,271.6
450,17.8,658.4,272.1
451,15.4,633.8,270.5
452,12.0,666.0,266.7
453,12.0,786.0,263.0
454,10.5,778.6,259.7
455,5.9,193.2,257.7
456,9.6,82.7,260.3
457,12.1,197.0,261.3
458,12.0,317.0,261.5
459,12.0,437.0,261.1
460,12.0,557.0,256.7
461,12.0,677.0,254.5
462,12.0,797.0,254.7
463,10.5,786.9,249.2
464,2.5,186.3,241.4
465,0.3,0.0,243.2
466,1.3,3.4,251.3
467,2.7,21.7,256.9
468,3.7,16.8,260.4
469,7.5,65.8,259.1
470,11.3,160.9,256.1
471,12.0,280.0,254.2
472,10.5,330.1,250.1
473,2.2,66.7,246.8
474,0.4,0.0,250.7
475,0.3,0.0,259.7
476,5.3,23.1,265.8
477,9.6,99.3,266.1
478,8.5,168.0,261.6
479,8.1,241.0,260.0
480,8.6,322.5,257.7
481,8.3,329.6,255.3
482,1.0,24.5,255.9
483,1.3,5.1,260.3
484,3.0,27.5,263.8
485,5.4,67.3,271.8
486,4.8,67.6,272.9
487,4.3,80.4,265.6
488,4.1,115.0,255.1
489,4.8,158.6,252.6
490,4.4,152.1,254.0
491,1.9,13.0,250.6
492,2.0,33.0,251.9
493,2.7,55.8,257.6
494,4.0,90.0,263.2
495,0.9,9.2,262.9
496,1.7,13.3,260.0
497,2.0,33.0,254.9
498,2.1,53.0,253.4
499,1.1,37.3,256.6
500,1.0,5.5,255.6
501,1.0,15.5,254.3
502,1.2,25.8,253.7
503,2.0,43.0,249.3
504,0.0,0.0,244.4
505,0.0,0.0,234.8
506,0.0,0.0,225.9
507,0.0,0.0,222.5
508,0.0,0.0,225.3
509,0.0,0.0,221.9
510,0.0,0.0,216.5
511,0.3,0.6,218.0
512,1.0,8.5,220.4
513,0.0,0.0,220.9
514,0.0,0.0,216.8
515,0.0,0.0,215.7
516,0.0,0.0,215.2
517,0.0,0.0,215.2
518,2.4,11.2,214.9
519,3.0,40.5,218.3
520,3.2,70.8,222.3
521,5.4,114.0,223.6
522,0.6,13.7,222.3
523,0.6,1.3,215.6
524,1.3,4.9,205.6
525,0.0,0.0,203.7
526,0.7,2.2,200.8
527,2.0,18.0,200.4
528,2.0,38.0,206.9
529,3.1,61.8,210.9
530,5.8,107.9,211.7
531,0.9,11.1,212.0
532,0.0,0.0,205.7
533,0.0,0.0,201.6
534,0.0,0.0,196.9
535,0.3,0.6,196.8
536,2.0,14.0,200.1
537,2.0,34.0,204.2
538,3.2,58.3,207.1
539,5.5,103.6,208.9
540,1.9,12.0,209.5
541,0.3,0.5,204.5
542,0.0,0.0,197.9
543,0.0,0.0,192.8
544,0.0,0.0,196.4
545,0.0,0.0,197.9
546,0.0,0.0,198.1
547,0.0,0.0,196.6
548,0.9,4.5,198.7
549,0.0,0.0,196.7
550,0.0,0.0,189.9
551,0.0,0.0,181.4
552,0.0,0.0,176.2
553,0.0,0.0,177.7
554,0.0,0.0,179.8
555,0.0,0.0,182.6
556,0.0,0.0,182.9
557,1.6,7.6,184.4
558,0.1,0.7,184.0
559,0.0,0.0,179.3
560,0.0,0.0,174.6
561,0.1,0.1,170.4
562,0.5,1.1,172.5
563,2.0,16.0,178.8
564,2.0,36.0,180.5
565,3.1,60.2,183.9
566,4.4,99.0,189.9
567,0.4,6.7,190.8
568,0.0,0.0,183.9
569,0.0,0.0,182.1
570,0.0,0.0,181.0
571,0.0,0.0,182.2
572,0.0,0.0,188.0
573,0.0,0.0,195.6
574,0.1,0.1,198.1
575,1.0,6.5,198.0
576,0.0,0.0,194.3
577,0.0,0.0,187.8
578,0.0,0.0,183.7
579,0.0,0.0,181.4
580,0.0,0.0,182.9
581,0.7,2.8,184.5
582,1.0,12.5,187.5
583,1.0,22.5,189.3
584,1.0,32.5,192.3
585,0.0,0.0,188.7
586,0.0,0.0,181.0
587,0.0,0.0,172.1
588,0.0,0.0,168.5
589,0.3,0.6,174.1
590,2.0,14.0,173.9
591,2.0,34.0,177.6
592,2.0,54.0,180.1
593,3.2,77.4,182.5
594,1.3,7.6,185.5
595,0.0,0.0,185.3
